instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf20-71-M wuf20-01.mwcnf,6829,6829,1877,1877,10000,0.999
wuf20-71-M wuf20-01.mwcnf,6829,6829,96,96,10000,0.999
wuf20-71-M wuf20-01.mwcnf,6829,6829,2842,2842,10000,0.999
wuf20-71-M wuf20-01.mwcnf,6829,6829,111,111,10000,0.999
wuf20-71-M wuf20-01.mwcnf,6829,6829,3699,3699,10000,0.999
wuf20-71-M wuf20-010.mwcnf,15483,15483,10396,10396,10000,0.999
wuf20-71-M wuf20-010.mwcnf,15483,15483,3004,3004,10000,0.999
wuf20-71-M wuf20-010.mwcnf,15483,15483,5676,5676,10000,0.999
wuf20-71-M wuf20-010.mwcnf,15483,15483,327,327,10000,0.999
wuf20-71-M wuf20-010.mwcnf,15483,15483,13289,13289,10000,0.999
wuf20-71-M wuf20-0100.mwcnf,12434,12434,12615,12615,10000,0.999
wuf20-71-M wuf20-0100.mwcnf,12434,12434,1894,1894,10000,0.999
wuf20-71-M wuf20-0100.mwcnf,12434,12434,5201,5201,10000,0.999
wuf20-71-M wuf20-0100.mwcnf,12434,12434,8295,8295,10000,0.999
wuf20-71-M wuf20-0100.mwcnf,12434,12434,11839,11839,10000,0.999
wuf20-71-M wuf20-01000.mwcnf,10282,10282,11892,11892,10000,0.999
wuf20-71-M wuf20-01000.mwcnf,10282,10282,12949,12949,10000,0.999
wuf20-71-M wuf20-01000.mwcnf,10282,10282,16905,16905,10000,0.999
wuf20-71-M wuf20-01000.mwcnf,10282,10282,11273,11273,10000,0.999
wuf20-71-M wuf20-01000.mwcnf,10282,10282,7405,7405,10000,0.999
wuf20-71-M wuf20-0101.mwcnf,11044,11044,9124,9124,10000,0.999
wuf20-71-M wuf20-0101.mwcnf,11044,11044,10477,10477,10000,0.999
wuf20-71-M wuf20-0101.mwcnf,11044,11044,7864,7864,10000,0.999
wuf20-71-M wuf20-0101.mwcnf,11044,11044,14434,14434,10000,0.999
wuf20-71-M wuf20-0101.mwcnf,11044,11044,1937,1937,10000,0.999
wuf20-71-M wuf20-0102.mwcnf,9439,9439,11836,11836,10000,0.999
wuf20-71-M wuf20-0102.mwcnf,9439,9439,11134,11134,10000,0.999
wuf20-71-M wuf20-0102.mwcnf,9439,9439,15298,15298,10000,0.999
wuf20-71-M wuf20-0102.mwcnf,9439,9439,14492,14492,10000,0.999
wuf20-71-M wuf20-0102.mwcnf,9439,9439,178,178,10000,0.999
wuf20-71-M wuf20-0103.mwcnf,12523,12523,3394,3394,10000,0.999
wuf20-71-M wuf20-0103.mwcnf,12523,12523,14806,14806,10000,0.999
wuf20-71-M wuf20-0103.mwcnf,12523,12523,14132,14132,10000,0.999
wuf20-71-M wuf20-0103.mwcnf,12523,12523,10642,10642,10000,0.999
wuf20-71-M wuf20-0103.mwcnf,12523,12523,271,271,10000,0.999
wuf20-71-M wuf20-0104.mwcnf,11510,11510,2938,2938,10000,0.999
wuf20-71-M wuf20-0104.mwcnf,11510,11510,2131,2131,10000,0.999
wuf20-71-M wuf20-0104.mwcnf,11510,11510,8658,8658,10000,0.999
wuf20-71-M wuf20-0104.mwcnf,11510,11510,54,54,10000,0.999
wuf20-71-M wuf20-0104.mwcnf,11510,11510,186,186,10000,0.999
wuf20-71-M wuf20-0105.mwcnf,13978,13978,8240,8240,10000,0.999
wuf20-71-M wuf20-0105.mwcnf,13978,13978,1073,1073,10000,0.999
wuf20-71-M wuf20-0105.mwcnf,13978,13978,10537,10537,10000,0.999
wuf20-71-M wuf20-0105.mwcnf,13978,13978,2502,2502,10000,0.999
wuf20-71-M wuf20-0105.mwcnf,13978,13978,14910,14910,10000,0.999
wuf20-71-M wuf20-0106.mwcnf,14470,14470,895,895,10000,0.999
wuf20-71-M wuf20-0106.mwcnf,14470,14470,2819,2819,10000,0.999
wuf20-71-M wuf20-0106.mwcnf,14470,14470,613,613,10000,0.999
wuf20-71-M wuf20-0106.mwcnf,14470,14470,2241,2241,10000,0.999
wuf20-71-M wuf20-0106.mwcnf,14470,14470,415,415,10000,0.999
wuf20-71-M wuf20-0107.mwcnf,12257,12257,8586,8586,10000,0.999
