instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf50-218-M wuf50-01.mwcnf,20150,20150,168,168,10000,0.999
wuf50-218-M wuf50-01.mwcnf,20150,20150,3541,3541,10000,0.999
wuf50-218-M wuf50-01.mwcnf,20150,20150,606,606,10000,0.999
wuf50-218-M wuf50-010.mwcnf,37909,37909,6722,6722,10000,0.999
wuf50-218-M wuf50-010.mwcnf,37909,37909,2592,2592,10000,0.999
wuf50-218-M wuf50-010.mwcnf,37909,37909,4178,4178,10000,0.999
wuf50-218-M wuf50-0100.mwcnf,39798,39798,0,0,10000,0.999
wuf50-218-M wuf50-0100.mwcnf,39798,39798,0,0,10000,0.999
wuf50-218-M wuf50-0100.mwcnf,39798,39798,0,0,10000,0.999
wuf50-218-M wuf50-01000.mwcnf,41070,41070,7,7,10000,0.999
wuf50-218-M wuf50-01000.mwcnf,41070,41070,3797,3797,10000,0.999
wuf50-218-M wuf50-01000.mwcnf,41070,41070,1852,1852,10000,0.999
wuf50-218-M wuf50-0101.mwcnf,39943,39943,231486,231486,10000,0.999
wuf50-218-M wuf50-0101.mwcnf,39943,39943,0,0,10000,0.999
wuf50-218-M wuf50-0101.mwcnf,39943,39943,230744,230744,10000,0.999
wuf50-218-M wuf50-0102.mwcnf,36675,36675,166,166,10000,0.999
wuf50-218-M wuf50-0102.mwcnf,36675,36675,115757,115757,10000,0.999
wuf50-218-M wuf50-0102.mwcnf,36096,36675,575432,3292,10000,0.999
wuf50-218-M wuf50-0103.mwcnf,36043,36043,240330,240330,10000,0.999
wuf50-218-M wuf50-0103.mwcnf,36043,36043,7475,7475,10000,0.999
wuf50-218-M wuf50-0103.mwcnf,36043,36043,121489,121489,10000,0.999
wuf50-218-M wuf50-0104.mwcnf,23804,23804,115360,115360,10000,0.999
wuf50-218-M wuf50-0104.mwcnf,23804,23804,115196,115196,10000,0.999
wuf50-218-M wuf50-0104.mwcnf,23804,23804,34327,34327,10000,0.999
wuf50-218-M wuf50-0105.mwcnf,34336,34336,115592,115592,10000,0.999
wuf50-218-M wuf50-0105.mwcnf,34336,34336,373764,373764,10000,0.999
wuf50-218-M wuf50-0105.mwcnf,34336,34336,118737,118737,10000,0.999
wuf50-218-M wuf50-0106.mwcnf,30464,30464,115180,115180,10000,0.999
wuf50-218-M wuf50-0106.mwcnf,30464,30464,31,31,10000,0.999
wuf50-218-M wuf50-0106.mwcnf,30464,30464,116703,116703,10000,0.999
wuf50-218-M wuf50-0107.mwcnf,35376,35376,150,150,10000,0.999
wuf50-218-M wuf50-0107.mwcnf,35376,35376,2904,2904,10000,0.999
