instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf20-91-M wuf20-01.mwcnf,2293,2293,230162,230162,10000,0.999
wuf20-91-M wuf20-01.mwcnf,2293,2293,234463,234463,10000,0.999
wuf20-91-M wuf20-01.mwcnf,2293,2293,230168,230168,10000,0.999
wuf20-91-M wuf20-01.mwcnf,2293,2293,2584,2584,10000,0.999
wuf20-91-M wuf20-01.mwcnf,2293,2293,230172,230172,10000,0.999
wuf20-91-M wuf20-010.mwcnf,4399,4399,353,353,10000,0.999
wuf20-91-M wuf20-010.mwcnf,4399,4399,26,26,10000,0.999
wuf20-91-M wuf20-010.mwcnf,4399,4399,0,0,10000,0.999
wuf20-91-M wuf20-010.mwcnf,4399,4399,1619,1619,10000,0.999
wuf20-91-M wuf20-010.mwcnf,4399,4399,219,219,10000,0.999
wuf20-91-M wuf20-0100.mwcnf,4900,4900,128,128,10000,0.999
wuf20-91-M wuf20-0100.mwcnf,4900,4900,1117,1117,10000,0.999
wuf20-91-M wuf20-0100.mwcnf,4900,4900,0,0,10000,0.999
wuf20-91-M wuf20-0100.mwcnf,4900,4900,1197,1197,10000,0.999
wuf20-91-M wuf20-0100.mwcnf,4900,4900,3218,3218,10000,0.999
wuf20-91-M wuf20-01000.mwcnf,3200,3200,0,0,10000,0.999
wuf20-91-M wuf20-01000.mwcnf,3200,3200,0,0,10000,0.999
wuf20-91-M wuf20-01000.mwcnf,3200,3200,0,0,10000,0.999
wuf20-91-M wuf20-01000.mwcnf,3200,3200,0,0,10000,0.999
wuf20-91-M wuf20-01000.mwcnf,3200,3200,0,0,10000,0.999
wuf20-91-M wuf20-0101.mwcnf,3801,3801,1657,1657,10000,0.999
wuf20-91-M wuf20-0101.mwcnf,3801,3801,2648,2648,10000,0.999
wuf20-91-M wuf20-0101.mwcnf,3801,3801,6696,6696,10000,0.999
wuf20-91-M wuf20-0101.mwcnf,3801,3801,1998,1998,10000,0.999
wuf20-91-M wuf20-0101.mwcnf,3801,3801,5,5,10000,0.999
wuf20-91-M wuf20-0102.mwcnf,4601,4601,2797,2797,10000,0.999
wuf20-91-M wuf20-0102.mwcnf,4601,4601,441,441,10000,0.999
wuf20-91-M wuf20-0102.mwcnf,4601,4601,22,22,10000,0.999
wuf20-91-M wuf20-0102.mwcnf,4601,4601,0,0,10000,0.999
wuf20-91-M wuf20-0102.mwcnf,4601,4601,676,676,10000,0.999
wuf20-91-M wuf20-0103.mwcnf,4400,4400,0,0,10000,0.999
wuf20-91-M wuf20-0103.mwcnf,4400,4400,0,0,10000,0.999
wuf20-91-M wuf20-0103.mwcnf,4400,4400,0,0,10000,0.999
wuf20-91-M wuf20-0103.mwcnf,4400,4400,0,0,10000,0.999
