instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf75-325-M wuf75-039.mwcnf,25506,25506,222,222,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,63,63,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,206,206,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,230,230,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1440,1440,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,125,125,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,782,782,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,770,770,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1641,1641,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,233,233,100,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,142,142,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,379,379,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,14036,14036,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,301,301,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,102,102,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,202,202,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,7316,7316,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,93,93,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,257,257,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,14020,14020,100,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,140,140,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,69257,69257,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,116,116,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,91,91,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,96,96,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,69218,69218,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,138310,138310,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,138306,138306,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,177,177,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,120,120,100,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,282,282,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,162,162,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,2380,2380,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,60,60,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,37,37,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1319,1319,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1146,1146,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1255,1255,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1038,1038,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,423,423,1000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1588,1588,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,851,851,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,1029,1029,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,1901,1901,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,764,764,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,1203,1203,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,613,613,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,1221,1221,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,1173,1173,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,926,926,1000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,3169,3169,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,4090,4090,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,2202,2202,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,4286,4286,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,863,863,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,5619,5619,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,3735,3735,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,833,833,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,7136,7136,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,1246,1246,1000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,793,793,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,508,508,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,387,387,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,469,469,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,440,440,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,567,567,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,543,543,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,472,472,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,39,39,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,394,394,10000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,3171,3171,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,966,966,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,945,945,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,3147,3147,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,2944,2944,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,1661,1661,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,1654,1654,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,3645,3645,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,375,375,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,2158,2158,10000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,21092,21092,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,419,419,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,3458,3458,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,3106,3106,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,3386,3386,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,6527,6527,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,5920,5920,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,2417,2417,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,11437,11437,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,2493,2493,10000,0.999
wuf75-325-M wuf75-039.mwcnf,25340,25506,6614,1374,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,791,791,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,914,914,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,562,562,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,2074,2074,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,4686,4686,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,1876,1876,100000,0.9
wuf75-325-M wuf75-039.mwcnf,24399,25506,6600,0,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,3395,3395,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25506,25506,2528,2528,100000,0.9
wuf75-325-M wuf75-039.mwcnf,25340,25506,68753,51353,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25121,25506,68760,13760,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25003,25506,68757,41257,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,5805,5805,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25340,25506,68762,41262,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25003,25506,68751,13751,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25003,25506,68755,13755,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25340,25506,68752,22442,100000,0.99
wuf75-325-M wuf75-039.mwcnf,24905,25506,68769,27519,100000,0.99
wuf75-325-M wuf75-039.mwcnf,25506,25506,5194,5194,100000,0.99
wuf75-325-M wuf75-039.mwcnf,24666,25506,690450,0,100000,0.999
wuf75-325-M wuf75-039.mwcnf,25027,25506,690455,414285,100000,0.999
wuf75-325-M wuf75-039.mwcnf,25003,25506,690457,138097,100000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,5,5,100000,0.999
wuf75-325-M wuf75-039.mwcnf,25121,25506,690454,138104,100000,0.999
wuf75-325-M wuf75-039.mwcnf,25003,25506,690450,0,100000,0.999
wuf75-325-M wuf75-039.mwcnf,25027,25506,690468,38,100000,0.999
wuf75-325-M wuf75-039.mwcnf,25506,25506,38364,38364,100000,0.999
wuf75-325-M wuf75-039.mwcnf,24808,25506,690457,276187,100000,0.999
wuf75-325-M wuf75-039.mwcnf,24905,25506,690450,0,100000,0.999
wuf75-325-M wuf75-030.mwcnf,22741,22741,26,26,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,97,97,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,780,780,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,82,82,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,1474,1474,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,58,58,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,0,0,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,41,41,100,0.9
wuf75-325-M wuf75-030.mwcnf,22741,22741,78,78,100,0.9
