instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf75-325-M wuf75-093.mwcnf,21192,21982,3379,1609,100,0.9
wuf75-325-M wuf75-093.mwcnf,21824,21982,3404,1594,100,0.9
wuf75-325-M wuf75-093.mwcnf,21746,21982,3353,843,100,0.9
wuf75-325-M wuf75-093.mwcnf,21570,21982,3343,3093,100,0.9
wuf75-325-M wuf75-093.mwcnf,21810,21982,3385,2895,100,0.9
wuf75-325-M wuf75-093.mwcnf,21178,21982,3328,2138,100,0.9
wuf75-325-M wuf75-093.mwcnf,21810,21982,3338,868,100,0.9
wuf75-325-M wuf75-093.mwcnf,21810,21982,3383,2773,100,0.9
wuf75-325-M wuf75-093.mwcnf,21178,21982,3347,2887,100,0.9
wuf75-325-M wuf75-093.mwcnf,21728,21982,3335,225,100,0.9
wuf75-325-M wuf75-093.mwcnf,21195,21982,34485,28575,100,0.99
wuf75-325-M wuf75-093.mwcnf,21824,21982,34454,13964,100,0.99
wuf75-325-M wuf75-093.mwcnf,21829,21982,34444,604,100,0.99
wuf75-325-M wuf75-093.mwcnf,21570,21982,34476,14096,100,0.99
wuf75-325-M wuf75-093.mwcnf,21728,21982,34494,27984,100,0.99
wuf75-325-M wuf75-093.mwcnf,21728,21982,34450,7090,100,0.99
wuf75-325-M wuf75-093.mwcnf,21178,21982,34418,388,100,0.99
wuf75-325-M wuf75-093.mwcnf,21824,21982,34481,7131,100,0.99
wuf75-325-M wuf75-093.mwcnf,21982,21982,314,314,100,0.99
wuf75-325-M wuf75-093.mwcnf,21570,21982,34472,7152,100,0.99
wuf75-325-M wuf75-093.mwcnf,21982,21982,278657,278657,100,0.999
wuf75-325-M wuf75-093.mwcnf,21982,21982,138652,138652,100,0.999
wuf75-325-M wuf75-093.mwcnf,21824,21982,345344,140194,100,0.999
wuf75-325-M wuf75-093.mwcnf,21824,21982,345331,2291,100,0.999
wuf75-325-M wuf75-093.mwcnf,21982,21982,276633,276633,100,0.999
wuf75-325-M wuf75-093.mwcnf,21824,21982,345307,1527,100,0.999
wuf75-325-M wuf75-093.mwcnf,21982,21982,277678,277678,100,0.999
wuf75-325-M wuf75-093.mwcnf,21982,21982,143665,143665,100,0.999
wuf75-325-M wuf75-093.mwcnf,21824,21982,345332,2472,100,0.999
wuf75-325-M wuf75-093.mwcnf,21824,21982,345360,74990,100,0.999
wuf75-325-M wuf75-093.mwcnf,21728,21982,4518,2268,1000,0.9
